accomplishment,year,detail
LINKEDIN Learning -- Git Essential Training (3 ore),2022,\href{https://www.linkedin.com/learning/certificates/c207f0b4f40a6dd1672177c10c397d6451bc43b3ab9c128bc28c014e61efe704?trk=share_certificate}{Certificato}
STATISTICAL HORIZONS -- Multilevel and Mixed Effects Models Using R (4 giorni),2021,NA
IADB -- Machine Learning with R (7 settimane),2019,NA
WORLD BANK -- Household Surveys in the Post-2015 Development Agenda (2 giorni),2018,NA
MIT-JPAL (on EdX) -- Evaluating Social Programs (4 settimane),2017,NA
DUKE (on Coursera) -- Managing Big Data with MySQL (5 settimane),2017,\href{https://coursera.org/share/8efe0e981dc578581dd5f775be6f22e8}{Certificato}
MIT-JPAL (on EdX) -- The Analytics Edge (9 settimane),2016,NA
UC-DAVIS (on Coursera) -- Fundamentals of GIS (4 settimane),2016,\href{https://coursera.org/share/6d81d059f2ecf658aea30b76d14fa44f}{Certificato}
IRES (Kenya) -- GIS Analysis for WASH Programs (5 giorni),2016,NA
GENERAL ASSEMBLY -- SQL Bootcamp (1 day),2016,NA
DUKE (on Coursera) -- Data Analysis and Statistical Inference (10 settimane),2015,NA
JOHNS HOPKINS (on Coursera) -- The Data Scientist Toolbox (4 settimane),2014,\href{https://coursera.org/share/bc85f7c36bad5b97f2c99ac59616737e}{Certificato}
